Epc,reflist_run_id,slice_id_IN,in_IN,out_IN,order_IN,slice_id_OUT,in_OUT,out_OUT,order_OUT,refListId_actual,Q refListId_actual,pred_ana_bool,Nombre de lectures
epc_172,2_21,up_2,-61.0,-110.0,2,up_0,-110.0,-55.0,0,2,34,True,36
epc_172,2_22,mid_0,-52.0,-110.0,3,up_2,-63.0,-55.0,2,2,34,True,36
epc_172,2_24,up_2,-64.0,-110.0,2,up_1,-110.0,-55.0,1,2,34,True,36
epc_172,2_14,mid_0,-53.0,-110.0,3,up_1,-72.0,-59.0,1,2,34,True,36
epc_172,2_25,mid_0,-53.0,-110.0,3,up_1,-71.0,-61.0,1,2,34,True,36
epc_172,2_27,mid_0,-56.0,-110.0,3,up_1,-65.0,-53.0,1,2,34,True,36
epc_172,2_28,up_1,-62.0,-110.0,1,up_0,-110.0,-54.0,0,2,34,True,36
epc_160,2_11,up_2,-61.0,-62.0,2,up_1,-110.0,-56.0,1,2,34,True,32
epc_172,2_3,up_2,-62.0,-110.0,2,up_0,-110.0,-56.0,0,2,34,True,36
epc_172,2_30,mid_0,-54.0,-110.0,3,up_2,-65.0,-61.0,2,2,34,True,36
epc_172,2_31,up_2,-57.0,-110.0,2,up_1,-110.0,-51.0,1,2,34,True,36
epc_172,2_26,mid_0,-58.0,-110.0,3,up_0,-110.0,-55.0,0,2,34,True,36
epc_171,2_12,mid_0,-60.0,-110.0,3,up_1,-66.0,-62.0,1,2,34,True,33
epc_172,2_15,mid_1,-51.0,-110.0,4,up_2,-67.0,-63.0,2,2,34,True,36
epc_171,2_10,mid_0,-58.0,-72.0,3,up_1,-110.0,-61.0,1,2,34,True,33
epc_169,2_6,mid_0,-46.0,-110.0,3,up_2,-56.0,-55.0,2,2,34,True,33
epc_169,2_5,mid_0,-49.0,-110.0,3,up_2,-65.0,-62.0,2,2,34,True,33
epc_169,2_4,mid_0,-60.0,-110.0,3,up_2,-110.0,-56.0,2,2,34,True,33
epc_169,2_39,up_2,-58.0,-110.0,2,up_1,-110.0,-54.0,1,2,34,True,33
epc_169,2_38,mid_1,-59.0,-110.0,4,up_1,-67.0,-60.0,1,2,34,True,33
epc_169,2_37,up_2,-56.0,-110.0,2,up_1,-66.0,-55.0,1,2,34,True,33
epc_169,2_36,up_2,-57.0,-110.0,2,up_0,-110.0,-59.0,0,2,34,True,33
epc_169,2_35,mid_0,-50.0,-110.0,3,up_1,-61.0,-59.0,1,2,34,True,33
epc_169,2_34,up_2,-62.0,-110.0,2,up_1,-110.0,-60.0,1,2,34,True,33
epc_169,2_33,up_2,-57.0,-110.0,2,up_1,-110.0,-53.0,1,2,34,True,33
epc_169,2_31,up_2,-62.0,-110.0,2,up_1,-110.0,-54.0,1,2,34,True,33
epc_169,2_30,up_2,-61.0,-110.0,2,up_0,-110.0,-60.0,0,2,34,True,33
epc_169,2_3,mid_0,-46.0,-110.0,3,up_2,-55.0,-52.0,2,2,34,True,33
epc_169,2_27,mid_0,-58.0,-110.0,3,up_1,-69.0,-57.0,1,2,34,True,33
epc_169,2_26,mid_0,-51.0,-110.0,3,up_2,-60.0,-57.0,2,2,34,True,33
epc_169,2_25,mid_0,-59.0,-110.0,3,up_1,-110.0,-53.0,1,2,34,True,33
epc_169,2_24,up_2,-65.0,-110.0,2,up_1,-110.0,-55.0,1,2,34,True,33
epc_169,2_10,mid_0,-57.0,-110.0,3,up_1,-74.0,-58.0,1,2,34,True,33
epc_168,2_9,mid_0,-57.0,-110.0,3,up_2,-60.0,-53.0,2,2,34,True,34
epc_171,2_11,mid_0,-59.0,-110.0,3,up_2,-67.0,-62.0,2,2,34,True,33
epc_169,2_11,up_2,-68.0,-110.0,2,up_1,-110.0,-58.0,1,2,34,True,33
epc_169,2_12,mid_0,-60.0,-110.0,3,up_1,-110.0,-52.0,1,2,34,True,33
epc_169,2_13,up_2,-59.0,-110.0,2,up_1,-110.0,-57.0,1,2,34,True,33
epc_169,2_7,mid_0,-62.0,-110.0,3,up_1,-75.0,-53.0,1,2,34,True,33
epc_169,2_14,mid_0,-60.0,-110.0,3,up_1,-60.0,-54.0,1,2,34,True,33
epc_169,2_17,mid_0,-57.0,-110.0,3,up_1,-72.0,-55.0,1,2,34,True,33
epc_169,2_19,up_2,-58.0,-61.0,2,up_0,-110.0,-58.0,0,2,34,True,33
epc_169,2_2,mid_0,-57.0,-110.0,3,up_1,-73.0,-59.0,1,2,34,True,33
epc_169,2_20,mid_1,-57.0,-110.0,4,up_1,-73.0,-57.0,1,2,34,True,33
epc_169,2_21,up_2,-60.0,-63.0,2,up_0,-70.0,-57.0,0,2,34,True,33
epc_169,2_22,mid_0,-55.0,-110.0,3,up_2,-64.0,-54.0,2,2,34,True,33
epc_169,2_15,up_2,-64.0,-67.0,2,up_1,-110.0,-60.0,1,2,34,True,33
epc_169,2_8,up_2,-57.0,-110.0,2,up_1,-110.0,-54.0,1,2,34,True,33
epc_169,2_29,up_2,-60.0,-110.0,2,up_1,-110.0,-51.0,1,2,34,True,33
epc_170,2_10,up_1,-64.0,-110.0,1,up_0,-110.0,-50.0,0,2,34,True,33
epc_170,2_30,mid_0,-60.0,-110.0,3,up_0,-110.0,-53.0,0,2,34,True,33
epc_170,2_31,up_2,-53.0,-68.0,2,up_1,-64.0,-54.0,1,2,34,True,33
epc_170,2_33,up_2,-54.0,-110.0,2,up_1,-110.0,-65.0,1,2,34,True,33
epc_170,2_34,up_2,-60.0,-110.0,2,up_1,-110.0,-52.0,1,2,34,True,33
epc_170,2_36,up_2,-58.0,-110.0,2,up_0,-110.0,-51.0,0,2,34,True,33
epc_170,2_37,up_2,-54.0,-110.0,2,up_1,-64.0,-59.0,1,2,34,True,33
epc_170,2_38,mid_0,-54.0,-110.0,3,up_1,-78.0,-46.0,1,2,34,True,33
epc_170,2_39,up_2,-53.0,-110.0,2,up_1,-110.0,-47.0,1,2,34,True,33
